"filename", "language", "TypeScript", "JSON", "CSS", "JSON with Comments", "JavaScript", "XML", "Markdown", "TypeScript JSX", "comment", "blank", "total"
"e:\project\live\.eslintrc.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\project\live\.prettierrc.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\project\live\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 45
"e:\project\live\app\(auth)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"e:\project\live\app\(auth)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"e:\project\live\app\(root)\(home)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 1, 4, 69
"e:\project\live\app\(root)\ask-question\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"e:\project\live\app\(root)\collection\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 1, 3, 58
"e:\project\live\app\(root)\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 50
"e:\project\live\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 1, 3, 23
"e:\project\live\app\(root)\profile\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 6, 55
"e:\project\live\app\(root)\question\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 6, 116
"e:\project\live\app\(root)\tags\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 59
"e:\project\live\app\(root)\tags\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 7, 59
"e:\project\live\app\api\webhook\route.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 12, 8, 104
"e:\project\live\app\globals.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 0, 31, 20, 106
"e:\project\live\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 37
"e:\project\live\components.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\project\live\components\forms\Answer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 1, 10, 121
"e:\project\live\components\forms\Question.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 209, 4, 15, 228
"e:\project\live\components\home\HomeFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 32
"e:\project\live\components\shared\AllAnswers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 5, 82
"e:\project\live\components\shared\Filter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 4, 51
"e:\project\live\components\shared\LeftSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 7, 92
"e:\project\live\components\shared\Metric.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 6, 62
"e:\project\live\components\shared\NoResult.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 5, 45
"e:\project\live\components\shared\ParseHTML.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"e:\project\live\components\shared\RenderTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"e:\project\live\components\shared\RightSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 5, 67
"e:\project\live\components\shared\Votes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 3, 11, 166
"e:\project\live\components\shared\card\QuestionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 6, 94
"e:\project\live\components\shared\card\UserCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 4, 61
"e:\project\live\components\shared\navbar\MobileNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 5, 109
"e:\project\live\components\shared\navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 46
"e:\project\live\components\shared\navbar\Theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 3, 72
"e:\project\live\components\shared\search\GlobalSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"e:\project\live\components\shared\search\LocalSearchbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 6, 56
"e:\project\live\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 37
"e:\project\live\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"e:\project\live\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 25, 177
"e:\project\live\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"e:\project\live\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 6, 27
"e:\project\live\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 217, 0, 20, 237
"e:\project\live\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 15, 161
"e:\project\live\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 16, 141
"e:\project\live\constants\filters.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"e:\project\live\constants\index.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 5, 3, 73
"e:\project\live\context\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 4, 14, 75
"e:\project\live\database\answer.model.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"e:\project\live\database\interaction.model.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"e:\project\live\database\question.model.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"e:\project\live\database\tag.model.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\project\live\database\user.model.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"e:\project\live\lib\actions\answer.action.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 2, 30, 126
"e:\project\live\lib\actions\interaction.action.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"e:\project\live\lib\actions\question.action.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 6, 31, 171
"e:\project\live\lib\actions\shared.types.d.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 26, 159
"e:\project\live\lib\actions\tag.action.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 2, 16, 87
"e:\project\live\lib\actions\user.action.ts", "TypeScript", 150, 0, 0, 0, 0, 0, 0, 0, 7, 40, 197
"e:\project\live\lib\mogoose.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"e:\project\live\lib\utils.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 2, 9, 62
"e:\project\live\lib\validations.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\project\live\middleware.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"e:\project\live\next.config.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 1, 3, 30
"e:\project\live\package-lock.json", "JSON", 0, 12620, 0, 0, 0, 0, 0, 0, 0, 1, 12621
"e:\project\live\package.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 65
"e:\project\live\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\project\live\public\assets\icons\account.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\project\live\public\assets\icons\arrow-left.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\arrow-right.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\arrow-up-right.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"e:\project\live\public\assets\icons\au.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"e:\project\live\public\assets\icons\avatar.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\project\live\public\assets\icons\bronze-medal.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"e:\project\live\public\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\carbon-location.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\chevron-down.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"e:\project\live\public\assets\icons\chevron-right.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\project\live\public\assets\icons\clock-2.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\project\live\public\assets\icons\clock.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\project\live\public\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\project\live\public\assets\icons\computer.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\currency-dollar-circle.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\project\live\public\assets\icons\downvote.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\downvoted.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\project\live\public\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\project\live\public\assets\icons\eye.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\gold-medal.svg", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"e:\project\live\public\assets\icons\hamburger.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\project\live\public\assets\icons\home.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"e:\project\live\public\assets\icons\job-search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\project\live\public\assets\icons\like.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\link.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\location.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\message.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\project\live\public\assets\icons\mingcute-down-line.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\project\live\public\assets\icons\moon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\project\live\public\assets\icons\question.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\project\live\public\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\sign-up.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\project\live\public\assets\icons\silver-medal.svg", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"e:\project\live\public\assets\icons\star-filled.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"e:\project\live\public\assets\icons\star-red.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"e:\project\live\public\assets\icons\star.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\stars.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"e:\project\live\public\assets\icons\suitcase.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\sun.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"e:\project\live\public\assets\icons\tag.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\trash.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\project\live\public\assets\icons\upvote.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\project\live\public\assets\icons\upvoted.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\project\live\public\assets\icons\user.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\project\live\public\assets\icons\users.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\project\live\public\assets\images\default-logo.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\project\live\public\assets\images\logo-dark.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"e:\project\live\public\assets\images\logo-light.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"e:\project\live\public\assets\images\site-logo.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"e:\project\live\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\project\live\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\project\live\styles\theme.css", "CSS", 0, 0, 186, 0, 0, 0, 0, 0, 1, 60, 247
"e:\project\live\tailwind.config.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 9, 2, 93
"e:\project\live\tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"e:\project\live\types\index.d.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"Total", "-", 1144, 12711, 241, 28, 32, 445, 43, 2681, 98, 618, 18041